# browser-stack-extraction-manifest v1
# source_commit=009804c8b3dca148eda3f147621608ec4f12fd17
# source_commit_date=2026-07-29T18:45:12-04:00
# source_branch=agent/drain-worklist-20260725
# source_remote=https://github.com/matthewmackes/magic-mesh.git
# extraction_destination=matthewmackes/magic-mesh-browser-stack
# generation=git-ls-files plus scoped host-Browser signal scan
# columns=class	source_path	destination	reason	source_blob_sha	worktree_blob_sha	worktree_state
mixed-purpose	Cargo.lock	split-in-magic-mesh-browser-stack:Cargo.lock#browser-sections	workspace-package-edge	ac480accb9fc983535aa4ca0995d5907a5fd5a0b	ac480accb9fc983535aa4ca0995d5907a5fd5a0b	clean
mixed-purpose	Cargo.toml	split-in-magic-mesh-browser-stack:Cargo.toml#browser-sections	workspace-package-edge	88b9fa58efad9828702a8fe07f4bc1991cca4fe3	88b9fa58efad9828702a8fe07f4bc1991cca4fe3	clean
shared	LICENSE	retain-in-magic-mesh:LICENSE#shared-contract-or-reference	shared-legal-root	8883c49884a041a96846041ace5ce62d5089231d	8883c49884a041a96846041ace5ce62d5089231d	clean
shared	NOTICE	retain-in-magic-mesh:NOTICE#shared-contract-or-reference	shared-legal-root	42a0c41d2da013e7fe2436e3301a52a79935cbbc	42a0c41d2da013e7fe2436e3301a52a79935cbbc	clean
shared	crates/desktop/mde-bookmarks-egui/Cargo.toml	retain-in-magic-mesh:crates/desktop/mde-bookmarks-egui/Cargo.toml#shared-contract-or-reference	workspace-package-edge	093b8c0f3a83404b93b7a11ae9bc9e137c29b208	093b8c0f3a83404b93b7a11ae9bc9e137c29b208	clean
shared	crates/desktop/mde-bookmarks-egui/src/lib.rs	retain-in-magic-mesh:crates/desktop/mde-bookmarks-egui/src/lib.rs#shared-contract-or-reference	shared-bookmark-contract	8e91afeaa8beeb176ce20df5eff47a1cb100f393	8e91afeaa8beeb176ce20df5eff47a1cb100f393	clean
shared	crates/desktop/mde-bookmarks-egui/src/main.rs	retain-in-magic-mesh:crates/desktop/mde-bookmarks-egui/src/main.rs#shared-contract-or-reference	shared-bookmark-contract	4240478121f90d97f4ea14e24c7b2233eef1cef3	4240478121f90d97f4ea14e24c7b2233eef1cef3	clean
shared	crates/desktop/mde-bookmarks-egui/src/model.rs	retain-in-magic-mesh:crates/desktop/mde-bookmarks-egui/src/model.rs#shared-contract-or-reference	shared-bookmark-contract	736697847497b97202669300ce2b80a03391381a	736697847497b97202669300ce2b80a03391381a	clean
shared	crates/desktop/mde-bookmarks-egui/src/view.rs	retain-in-magic-mesh:crates/desktop/mde-bookmarks-egui/src/view.rs#shared-contract-or-reference	shared-bookmark-contract	9c8aa3ae3d1b1795db9f2ce6d1e0b87a6b1e9074	9c8aa3ae3d1b1795db9f2ce6d1e0b87a6b1e9074	clean
mixed-purpose	crates/desktop/mde-shell-egui/Cargo.toml	split-in-magic-mesh-browser-stack:crates/desktop/mde-shell-egui/Cargo.toml#browser-sections	workspace-package-edge	a158feeb6f63e2f6fd2e91a584ccc45eb2b48d2d	a158feeb6f63e2f6fd2e91a584ccc45eb2b48d2d	clean
mixed-purpose	crates/desktop/mde-shell-egui/src/console/custom_sync.rs	split-in-magic-mesh-browser-stack:crates/desktop/mde-shell-egui/src/console/custom_sync.rs#browser-sections	shell-route-or-shared-state	e65d7e6aa3331859a38f2d2d527389fefa949498	e65d7e6aa3331859a38f2d2d527389fefa949498	clean
